Company,Model,Variant,Ex-Showroom_Price,Energy_source(cc/kwh),Drivetrain,Fuel_Tank_Capacity,Fuel_Type,Type,Seating_Capacity,Seats_Material,Cylinders,Cylinder_Configuration,Engine_Location,Height,Length,Width,Body_Type,Power_Value,Power_Unit,Power_RPM,Torque_Value,Torque_Unit,Torque_RPM_Min
Mahindra,Scorpio,S11 4Wd,1663054,2179,FWD (Front Wheel Drive),60.0,Diesel,Manual,9,Leather,4,In-line,"Front, Longitudinal",1995,4456,1820,SUV,140,PS,3750.0,320.0,NM,1500.0
Mahindra,Scorpio,S9 2Wd,1423710,2179,FWD (Front Wheel Drive),60.0,Diesel,Manual,9,Fabric,4,In-line,"Front, Longitudinal",1995,4456,1820,SUV,140,PS,3750.0,320.0,NM,1500.0
Skoda,Monte Carlo,Monte Carlo 1.5 Tdi At,1425599,1498,FWD (Front Wheel Drive),55.0,Diesel,Automatic,5,Leather,4,In-line,"Front, Transverse",1466,4413,1699,Sedan,110,PS,4000.0,250.0,NM,1500.0
Skoda,Monte Carlo,Monte Carlo 1.6 Mpi At,1269599,1598,FWD (Front Wheel Drive),55.0,Petrol,Automatic,5,Leather,4,In-line,"Front, Transverse",1466,4413,1699,Sedan,105,PS,5250.0,153.0,NM,3750.0
Skoda,Monte Carlo,Monte Carlo 1.5 Tdi Mt,1299599,1498,FWD (Front Wheel Drive),55.0,Diesel,Manual,5,Leather,4,In-line,"Front, Transverse",1466,4413,1699,Sedan,110,PS,4000.0,250.0,NM,1500.0
Skoda,Monte Carlo,Monte Carlo 1.6 Mpi Mt,1139599,1598,FWD (Front Wheel Drive),55.0,Petrol,Manual,5,Leather,4,In-line,"Front, Transverse",1466,4413,1699,Sedan,105,PS,5250.0,153.0,NM,3750.0
Mahindra,Xuv500,G At,1610180,2179,FWD (Front Wheel Drive),70.0,Petrol,Automatic,7,Fabric,4,In-line,"Front, Transverse",1785,4585,1890,SUV,140,PS,4500.0,320.0,NM,2000.0
Mahindra,Xuv500,W7,1418313,2179,FWD (Front Wheel Drive),70.0,Diesel,Manual,7,Fabric,4,In-line,"Front, Longitudinal",1785,4585,1890,SUV,155,PS,3750.0,330.0,NM,1750.0
Mahindra,Xuv500,W7 At,1539488,2179,FWD (Front Wheel Drive),70.0,Diesel,Automatic,7,Fabric,4,In-line,"Front, Transverse",1785,4585,1890,SUV,155,PS,3750.0,330.0,NM,1750.0
Mahindra,Xuv500,W9,1588943,2179,FWD (Front Wheel Drive),70.0,Diesel,Manual,7,Leather,4,In-line,"Front, Transverse",1785,4585,1890,SUV,155,PS,3750.0,330.0,NM,1750.0
